Symbol,Strategy,DecisionConfidence,OOS_WinRate,OOS_ExpectancyR,Trades_OOS,Confidence_Reason
SHREECEM,CompositeScore,0.5,0.5,0.0,0,No OOS data available
TATACONSUM,CompositeScore,0.5,0.5,0.0,0,No OOS data available
EICHERMOT,CompositeScore,0.5,0.5,0.0,0,No OOS data available
SBILIFE,CompositeScore,0.5,0.5,0.0,0,No OOS data available
BRITANNIA,CompositeScore,0.5,0.5,0.0,0,No OOS data available
SUNPHARMA,CompositeScore,0.5,0.5,0.0,0,No OOS data available
BHARTIARTL,CompositeScore,0.5,0.5,0.0,0,No OOS data available
TITAN,CompositeScore,0.5,0.5,0.0,0,No OOS data available
SBIN,CompositeScore,0.5,0.5,0.0,0,No OOS data available
MARUTI,CompositeScore,0.5,0.5,0.0,0,No OOS data available
HINDALCO,CompositeScore,0.5,0.5,0.0,0,No OOS data available
LT,CompositeScore,0.5,0.5,0.0,0,No OOS data available
RELIANCE,CompositeScore,0.5,0.5,0.0,0,No OOS data available
APOLLOHOSP,CompositeScore,0.5,0.5,0.0,0,No OOS data available
AXISBANK,CompositeScore,0.5,0.5,0.0,0,No OOS data available
HCLTECH,CompositeScore,0.5,0.5,0.0,0,No OOS data available
HDFCBANK,CompositeScore,0.5,0.5,0.0,0,No OOS data available
DIVISLAB,CompositeScore,0.5,0.5,0.0,0,No OOS data available
ICICIBANK,CompositeScore,0.5,0.5,0.0,0,No OOS data available
COALINDIA,CompositeScore,0.5,0.5,0.0,0,No OOS data available
KOTAKBANK,CompositeScore,0.5,0.5,0.0,0,No OOS data available
POWERGRID,CompositeScore,0.5,0.5,0.0,0,No OOS data available
ITC,CompositeScore,0.5,0.5,0.0,0,No OOS data available
INDUSINDBK,CompositeScore,0.5,0.5,0.0,0,No OOS data available
ULTRACEMCO,CompositeScore,0.5,0.5,0.0,0,No OOS data available
