Date,Symbol,Strategy,InstrumentToken,Qty,ENTRY_trigger_type,ENTRY_trigger_price,STOPLOSS_trigger_price,TARGET_trigger_price,R,ATR14,RSI14,RSI14_Status,GoldenBull_Flag,GoldenBear_Flag,GoldenBull_Date,GoldenBear_Date,Notes
2025-12-19,SHREECEM,CompositeScore,,1,BELOW,26436.61,25712.33,27885.19,2.0,482.857,38.21,Neutral (30–70),0,1,,,
2025-12-19,TATACONSUM,CompositeScore,,31,BELOW,1160.01,1128.65,1222.73,2.0,20.907,50.84,Neutral (30–70),1,0,,,
2025-12-19,EICHERMOT,CompositeScore,,5,BELOW,7110.01,6925.56,7478.9,2.0,122.964,58.66,Neutral (30–70),0,0,,,
2025-12-19,SBILIFE,CompositeScore,,18,BELOW,2005.57,1950.71,2115.29,2.0,36.571,51.41,Neutral (30–70),1,0,,,
2025-12-19,BRITANNIA,CompositeScore,,6,BELOW,5923.4,5764.29,6241.61,2.0,106.071,67.4,Neutral (30–70),1,0,,,
2025-12-19,SUNPHARMA,CompositeScore,,24,BELOW,1785.32,1744.65,1866.66,2.0,27.114,45.43,Neutral (30–70),0,0,,,
2025-12-19,APOLLOHOSP,CompositeScore,,6,BELOW,7190.93,7032.52,7507.75,2.0,105.607,18.87,Oversold (≤30),0,0,,,
2025-12-19,BHARTIARTL,CompositeScore,,21,BELOW,2092.14,2046.11,2184.19,2.0,30.686,48.32,Neutral (30–70),0,0,,,
2025-12-19,AXISBANK,CompositeScore,,32,BELOW,1261.62,1230.44,1323.97,2.0,20.786,30.21,Neutral (30–70),0,0,,,
2025-12-19,TITAN,CompositeScore,,10,BELOW,3856.09,3762.62,4043.04,2.0,62.314,50.59,Neutral (30–70),0,0,,,
2025-12-19,HDFCBANK,CompositeScore,,53,BELOW,996.07,977.37,1033.47,2.0,12.468,34.55,Neutral (30–70),0,0,,,
2025-12-19,SBIN,CompositeScore,,45,BELOW,963.18,941.03,1007.49,2.0,14.768,51.4,Neutral (30–70),1,0,,,
2025-12-19,DIVISLAB,CompositeScore,,5,BELOW,6403.16,6224.39,6760.7,2.0,119.179,33.02,Neutral (30–70),0,0,,,
2025-12-19,MARUTI,CompositeScore,,2,BELOW,16160.47,15818.04,16845.33,2.0,228.286,63.36,Neutral (30–70),0,0,,,
2025-12-19,ICICIBANK,CompositeScore,,41,BELOW,1371.36,1347.36,1419.36,2.0,16.0,30.98,Neutral (30–70),0,0,,,
2025-12-19,HINDALCO,CompositeScore,,41,BELOW,821.89,798.05,869.57,2.0,15.893,68.62,Neutral (30–70),1,0,,,
2025-12-19,LT,CompositeScore,,11,BELOW,4025.3,3936.26,4203.37,2.0,59.357,47.21,Neutral (30–70),0,0,,,
2025-12-19,COALINDIA,CompositeScore,,131,BELOW,381.19,373.61,396.35,2.0,5.054,60.63,Neutral (30–70),0,1,,,
2025-12-19,POWERGRID,CompositeScore,,173,BELOW,267.57,261.81,279.09,2.0,3.839,19.57,Oversold (≤30),0,1,,,
2025-12-19,ITC,CompositeScore,,160,BELOW,403.0,396.77,415.47,2.0,4.157,39.77,Neutral (30–70),0,0,,,
2025-12-19,INDUSINDBK,CompositeScore,,34,BELOW,841.24,812.2,899.34,2.0,19.364,40.1,Neutral (30–70),0,1,,,
2025-12-19,ULTRACEMCO,CompositeScore,,3,BELOW,11622.48,11353.23,12160.98,2.0,179.5,46.46,Neutral (30–70),0,0,,,
2025-12-19,JSWSTEEL,CompositeScore,,24,BELOW,1126.85,1086.13,1208.28,2.0,27.143,28.84,Oversold (≤30),1,0,,,
2025-12-19,RELIANCE,CompositeScore,,32,BELOW,1538.33,1507.99,1599.02,2.0,20.229,40.54,Neutral (30–70),0,0,,,
2025-12-19,CIPLA,CompositeScore,,35,BELOW,1511.51,1483.24,1568.04,2.0,18.843,38.22,Neutral (30–70),1,0,,,
