Symbol,Date,RSI14,RSI14_Status,EMA50,EMA200,GoldenBull_Flag,GoldenBear_Flag,GoldenBull_Date,GoldenBear_Date
ADANIENT,2025-12-17,47.34481944772244,Neutral (30–70),2359.6008155747027,2455.2139416429704,0,0,2024-10-10,2024-10-18
ADANIPORTS,2025-12-17,43.43317972350232,Neutral (30–70),1473.651809755292,1391.4572263566306,0,0,2025-05-19,2024-11-25
APOLLOHOSP,2025-12-17,18.866459627329192,Oversold (≤30),7384.331754774841,7292.707388926519,0,0,2025-04-22,2025-02-28
ASIANPAINT,2025-12-17,37.24740578918623,Neutral (30–70),2724.414047330152,2559.280562229149,0,0,2025-11-07,2025-09-26
AXISBANK,2025-12-17,30.2149178255373,Neutral (30–70),1236.5564462099862,1171.3396289565528,0,0,2025-10-08,2025-08-08
BAJAJ-AUTO,2025-12-17,42.15384615384615,Neutral (30–70),8952.01131892645,8774.67517215536,0,0,2025-09-09,2024-12-31
BAJAJFINSV,2025-12-17,32.78757346767425,Neutral (30–70),2061.540034985299,1986.318430405109,0,0,2025-01-28,2024-12-18
BHARTIARTL,2025-12-17,48.31709477413644,Neutral (30–70),2061.465777056447,1909.2797288551512,0,0,2023-12-27,2023-12-19
BRITANNIA,2025-12-17,67.39832149774048,Neutral (30–70),5904.529591215794,5695.077142787997,0,0,2025-05-12,2024-12-03
CIPLA,2025-12-17,38.21815154038304,Neutral (30–70),1523.4049998913729,1517.9551544873143,0,0,2025-04-29,2025-01-20
COALINDIA,2025-12-17,60.63492063492068,Neutral (30–70),382.4558629489501,390.8859017305177,0,0,2024-01-01,2024-11-19
DIVISLAB,2025-12-17,33.01805674978503,Neutral (30–70),6408.921780238194,6208.06363839496,0,0,2024-05-02,2024-02-16
EICHERMOT,2025-12-17,58.65814696485623,Neutral (30–70),6971.527759532366,6195.156695378493,0,0,2024-04-18,2024-01-02
GRASIM,2025-12-17,67.18266253869969,Neutral (30–70),2781.507450780773,2726.7267041094337,0,0,2025-04-15,2025-01-16
HCLTECH,2025-12-17,57.34463276836159,Neutral (30–70),1594.4440885179256,1582.5601935735472,0,0,2025-12-10,2025-07-15
HDFCBANK,2025-12-17,34.54545454545455,Neutral (30–70),992.2568058547116,960.6014694136676,0,0,2024-06-27,2024-01-18
HDFCLIFE,2025-12-17,36.663007683863896,Neutral (30–70),762.8397561535892,741.9515830080448,0,0,2025-04-08,2024-12-27
HEROMOTOCO,2025-12-17,32.76573787409701,Neutral (30–70),5779.414677883787,5077.710345175399,0,0,2025-08-08,2024-12-06
HINDALCO,2025-12-17,68.62302483069978,Neutral (30–70),801.6684225825035,729.9048712828153,0,0,2025-05-26,2025-04-11
HINDUNILVR,2025-12-17,23.677130044843096,Oversold (≤30),2421.9197936995843,2452.724051744781,0,0,2025-08-01,2025-12-09
ICICIBANK,2025-12-17,30.97514340344165,Neutral (30–70),1376.8384313955678,1369.8516861334804,0,0,2024-02-20,
INDUSINDBK,2025-12-17,40.100671140939575,Neutral (30–70),821.0132219777513,854.6300158626298,0,0,2023-12-27,2024-02-06
INFY,2025-12-17,62.29281767955796,Neutral (30–70),1545.3136085915355,1569.476609270277,0,0,2024-07-12,2025-03-17
