Date,Equity
2023-03-29,100000.0
2023-03-31,100000.0
2023-04-03,100000.0
2023-04-05,100000.0
2023-04-06,100000.0
2023-04-10,100000.0
2023-04-11,100000.0
2023-04-12,100000.0
2023-04-13,100000.0
2023-04-17,100000.0
2023-04-18,100000.0
2023-04-19,100000.0
2023-04-20,100000.0
2023-04-21,100000.0
2023-04-24,100000.0
2023-04-25,100000.0
2023-04-26,100000.0
2023-04-27,100000.0
2023-04-28,100000.0
2023-05-02,100000.0
2023-05-03,100000.0
2023-05-04,100000.0
2023-05-05,100000.0
2023-05-08,100000.0
2023-05-09,100000.0
2023-05-10,100000.0
2023-05-11,100000.0
2023-05-12,100000.0
2023-05-15,100000.0
2023-05-16,100000.0
2023-05-17,100000.0
2023-05-18,100000.0
2023-05-19,100000.0
2023-05-22,100000.0
2023-05-23,100000.0
2023-05-24,100000.0
2023-05-25,100000.0
2023-05-26,100000.0
2023-05-29,100000.0
2023-05-30,100000.0
2023-05-31,100000.0
2023-06-01,100000.0
2023-06-02,100000.0
2023-06-05,100000.0
2023-06-06,100000.0
2023-06-07,100000.0
2023-06-08,100000.0
2023-06-09,100000.0
2023-06-12,100000.0
2023-06-13,100000.0
2023-06-14,100000.0
2023-06-15,100000.0
2023-06-16,100000.0
2023-06-19,100000.0
2023-06-20,100000.0
2023-06-21,100000.0
2023-06-22,100000.0
2023-06-23,100000.0
2023-06-26,100000.0
2023-06-27,100000.0
2023-06-28,100000.0
2023-06-30,100184.8
2023-07-03,100710.85
2023-07-04,101457.75
2023-07-05,102111.55
2023-07-06,102632.35
2023-07-07,103540.25
2023-07-10,104675.65000000001
2023-07-11,105657.40000000001
2023-07-12,106018.95000000001
2023-07-13,106853.35
2023-07-14,106853.35
2023-07-17,106853.35
2023-07-18,107327.85
2023-07-19,107609.85
2023-07-20,108225.3
2023-07-21,110117.1
2023-07-24,112575.05
2023-07-25,115933.25
2023-07-26,116633.4
2023-07-27,117390.2
2023-07-28,118131.05
2023-07-31,118232.8
2023-08-01,118389.55
2023-08-02,118741.55
2023-08-03,118144.25
2023-08-04,117318.75
2023-08-07,116535.55
2023-08-08,115858.15000000001
2023-08-09,116099.6
2023-08-10,116123.6
2023-08-11,115792.6
2023-08-14,116547.1
2023-08-16,116547.1
2023-08-17,116547.1
2023-08-18,116948.1
2023-08-21,116649.3
2023-08-22,115550.9
2023-08-23,113728.9
2023-08-24,113371.54999999999
2023-08-25,112848.99999999999
2023-08-28,112848.99999999999
2023-08-29,112848.99999999999
2023-08-30,112848.99999999999
2023-08-31,112848.99999999999
2023-09-01,112848.99999999999
2023-09-04,112848.99999999999
2023-09-05,112848.99999999999
2023-09-06,112848.99999999999
2023-09-07,112848.99999999999
2023-09-08,112313.79999999999
2023-09-11,112145.79999999999
2023-09-12,111134.99999999999
2023-09-13,110870.84999999999
2023-09-14,110291.7
2023-09-15,109477.65
2023-09-18,108361.15
2023-09-20,108361.15
2023-09-21,108361.15
2023-09-22,108361.15
2023-09-25,108361.15
2023-09-26,108361.15
2023-09-27,108361.15
2023-09-28,108361.15
2023-09-29,108361.15
2023-10-03,108361.15
2023-10-04,108361.15
2023-10-05,108361.15
2023-10-06,108361.15
2023-10-09,108361.15
2023-10-10,108361.15
2023-10-11,108361.15
2023-10-12,108361.15
2023-10-13,108361.15
2023-10-16,108361.15
2023-10-17,108361.15
2023-10-18,108361.15
2023-10-19,108361.15
2023-10-20,108361.15
2023-10-23,108361.15
2023-10-25,108361.15
2023-10-26,108361.15
2023-10-27,108361.15
2023-10-30,108361.15
2023-10-31,108361.15
2023-11-01,108361.15
2023-11-02,108361.15
2023-11-03,108361.15
2023-11-06,108361.15
2023-11-07,108361.15
2023-11-08,108361.15
2023-11-09,108361.15
2023-11-10,108361.15
2023-11-12,108361.15
2023-11-13,108361.15
2023-11-15,108361.15
2023-11-16,108361.15
2023-11-17,108361.15
2023-11-20,108361.15
2023-11-21,108361.15
2023-11-22,108361.15
2023-11-23,108361.15
2023-11-24,108361.15
2023-11-28,108361.15
2023-11-29,108361.15
2023-11-30,108361.15
2023-12-01,108361.15
2023-12-04,108361.15
2023-12-05,108361.15
2023-12-06,108579.4
2023-12-07,109036.79999999999
2023-12-08,109514.59999999999
2023-12-11,110079.99999999999
2023-12-12,110715.19999999998
2023-12-13,111677.39999999998
2023-12-14,112500.79999999997
2023-12-15,113340.99999999997
2023-12-18,113731.79999999997
2023-12-19,114035.39999999998
2023-12-20,114154.59999999998
2023-12-21,114694.79999999997
2023-12-22,115158.39999999998
2023-12-26,115876.59999999998
2023-12-27,116032.09999999998
2023-12-28,116392.69999999998
2023-12-29,116978.59999999998
2024-01-01,118488.49999999999
2024-01-02,119705.79999999999
2024-01-03,121172.99999999999
2024-01-04,122075.99999999999
2024-01-05,123030.89999999998
2024-01-08,124031.99999999999
2024-01-09,125473.49999999999
2024-01-10,126764.99999999999
2024-01-11,127257.79999999999
2024-01-12,128197.89999999998
2024-01-15,128657.44999999998
2024-01-16,129280.09999999998
2024-01-17,130334.99999999997
2024-01-18,131894.24999999997
2024-01-19,131894.24999999997
2024-01-20,131894.24999999997
2024-01-23,133579.14999999997
2024-01-24,133579.14999999997
2024-01-25,133579.14999999997
2024-01-29,133579.14999999997
2024-01-30,135157.74999999997
2024-01-31,136424.94999999998
2024-02-01,136963.94999999998
2024-02-02,137755.34999999998
2024-02-05,138723.14999999997
2024-02-06,139681.94999999995
2024-02-07,140362.34999999995
2024-02-08,140844.44999999995
2024-02-09,141236.54999999996
2024-02-12,141304.64999999997
2024-02-13,141530.24999999997
2024-02-14,141194.54999999996
2024-02-15,139388.54999999996
2024-02-16,138750.44999999995
2024-02-19,138110.64999999997
2024-02-20,137081.29999999996
2024-02-21,135849.99999999997
2024-02-22,134475.99999999997
2024-02-23,132903.59999999998
2024-02-26,131578.8
2024-02-27,129836.4
2024-02-28,128394.79999999999
2024-02-29,128219.59999999999
2024-03-01,127953.19999999998
2024-03-02,127553.19999999998
2024-03-04,126754.79999999999
2024-03-05,125797.65
2024-03-06,125029.05
2024-03-07,125029.05
2024-03-11,125029.05
2024-03-12,125029.05
2024-03-13,125029.05
2024-03-14,125029.05
2024-03-15,125029.05
2024-03-18,125029.05
2024-03-19,125029.05
2024-03-20,125029.05
2024-03-21,125029.05
2024-03-22,125029.05
2024-03-26,125029.05
2024-03-27,125029.05
2024-03-28,125029.05
2024-04-01,124174.65000000001
2024-04-02,123112.15000000001
2024-04-03,121734.65000000001
2024-04-04,119581.85
2024-04-05,116957.90000000001
2024-04-08,114043.90000000001
2024-04-09,110380.70000000001
2024-04-10,106769.90000000001
2024-04-12,103508.3
2024-04-15,101784.8
2024-04-16,101784.8
2024-04-18,101784.8
2024-04-19,101784.8
2024-04-22,101784.8
2024-04-23,101784.8
2024-04-24,101784.8
2024-04-25,101784.8
2024-04-26,101784.8
2024-04-29,101784.8
2024-04-30,101784.8
2024-05-02,101784.8
2024-05-03,101784.8
2024-05-06,101784.8
2024-05-07,101784.8
2024-05-08,101784.8
2024-05-09,101784.8
2024-05-10,101784.8
2024-05-13,101784.8
2024-05-14,101784.8
2024-05-15,101784.8
2024-05-16,101784.8
2024-05-17,101784.8
2024-05-18,101784.8
2024-05-21,101784.8
2024-05-22,101784.8
2024-05-23,101784.8
2024-05-24,101784.8
2024-05-27,100642.7
2024-05-28,99935.0
2024-05-29,99493.7
2024-05-30,98991.8
2024-05-31,98906.3
2024-06-03,97768.55
2024-06-04,95308.3
2024-06-05,95308.3
2024-06-06,95308.3
2024-06-07,95195.05
2024-06-10,94877.2
2024-06-11,94549.15
2024-06-12,94173.4
2024-06-13,93751.15
2024-06-14,93273.09999999999
2024-06-18,92759.04999999999
2024-06-19,92159.79999999999
2024-06-20,91650.69999999998
2024-06-21,90889.44999999998
2024-06-24,90889.44999999998
2024-06-25,90889.44999999998
2024-06-26,90889.44999999998
2024-06-27,90889.44999999998
2024-06-28,90889.44999999998
2024-07-01,90889.44999999998
2024-07-02,90889.44999999998
2024-07-03,90889.44999999998
2024-07-04,90889.44999999998
2024-07-05,90889.44999999998
2024-07-08,90889.44999999998
2024-07-09,90889.44999999998
2024-07-10,90889.44999999998
2024-07-11,90889.44999999998
2024-07-12,90889.44999999998
2024-07-15,90889.44999999998
2024-07-16,90889.44999999998
2024-07-18,90889.44999999998
2024-07-19,90889.44999999998
2024-07-22,90889.44999999998
2024-07-23,90889.44999999998
2024-07-24,90889.44999999998
2024-07-25,90889.44999999998
2024-07-26,90889.44999999998
2024-07-29,90889.44999999998
2024-07-30,90889.44999999998
2024-07-31,90889.44999999998
2024-08-01,90889.44999999998
2024-08-02,90889.44999999998
2024-08-05,90889.44999999998
2024-08-06,90889.44999999998
2024-08-07,90889.44999999998
2024-08-08,90889.44999999998
2024-08-09,90889.44999999998
2024-08-12,90889.44999999998
2024-08-13,90889.44999999998
2024-08-14,90889.44999999998
2024-08-16,90889.44999999998
2024-08-19,90889.44999999998
2024-08-20,90889.44999999998
2024-08-21,90889.44999999998
2024-08-22,90889.44999999998
2024-08-23,90889.44999999998
2024-08-26,90889.44999999998
2024-08-27,90889.44999999998
2024-08-28,90889.44999999998
2024-08-29,90889.44999999998
2024-08-30,90889.44999999998
2024-09-02,90889.44999999998
2024-09-03,90889.44999999998
2024-09-04,90889.44999999998
2024-09-05,90889.44999999998
2024-09-06,90889.44999999998
2024-09-09,90889.44999999998
2024-09-10,90889.44999999998
2024-09-11,90889.44999999998
2024-09-12,90889.44999999998
2024-09-13,90889.44999999998
2024-09-16,90889.44999999998
2024-09-17,90889.44999999998
2024-09-18,90889.44999999998
2024-09-19,90889.44999999998
2024-09-20,90889.44999999998
2024-09-23,90889.44999999998
2024-09-24,90889.44999999998
2024-09-25,90889.44999999998
2024-09-26,90889.44999999998
2024-09-27,90889.44999999998
2024-09-30,90889.44999999998
2024-10-01,90889.44999999998
2024-10-03,90889.44999999998
2024-10-04,89370.69999999998
2024-10-07,87920.34999999998
2024-10-08,87920.34999999998
2024-10-09,86204.29999999997
2024-10-10,85451.79999999997
2024-10-11,84023.09999999998
2024-10-14,82566.39999999998
2024-10-15,81184.24999999999
2024-10-16,79541.34999999999
2024-10-17,79541.34999999999
2024-10-18,79541.34999999999
2024-10-21,79541.34999999999
2024-10-22,79541.34999999999
2024-10-23,79541.34999999999
2024-10-24,79541.34999999999
2024-10-25,79541.34999999999
2024-10-28,79541.34999999999
2024-10-29,79541.34999999999
2024-10-30,79541.34999999999
2024-10-31,79541.34999999999
2024-11-01,79541.34999999999
2024-11-04,79541.34999999999
2024-11-05,79541.34999999999
2024-11-06,79541.34999999999
2024-11-07,79541.34999999999
2024-11-08,79541.34999999999
2024-11-11,79541.34999999999
2024-11-12,79541.34999999999
2024-11-13,79541.34999999999
2024-11-14,79541.34999999999
2024-11-18,79541.34999999999
2024-11-19,79541.34999999999
2024-11-21,79541.34999999999
2024-11-22,79541.34999999999
2024-11-25,79541.34999999999
