EntryDate,EntryPrice,ExitDate,ExitPrice,R,Qty,Pnl
2023-06-28,2402.0,2023-07-27,2428.4,0.19440609097005837,7,184.80000000000064
2023-06-30,2388.05,2023-07-28,2463.2,0.5295583238958074,7,526.0499999999975
2023-07-03,2385.5,2023-07-31,2492.2,0.767971210076472,7,746.8999999999987
2023-07-04,2387.7,2023-08-01,2481.1,0.6837660470102239,7,653.8000000000006
2023-07-05,2399.15,2023-08-02,2473.55,0.5422881686841089,7,520.8000000000006
2023-07-06,2402.9,2023-08-03,2532.6,0.969784364777356,7,907.8999999999987
2023-07-07,2379.6,2023-08-04,2541.8,1.2122085652133348,7,1135.400000000002
2023-07-10,2410.25,2023-08-07,2550.5,1.1046879615173664,7,981.75
2023-07-11,2422.9,2023-08-08,2474.55,0.40276269251121116,7,361.55000000000064
2023-07-12,2387.9,2023-08-09,2507.1,0.9259151373919804,7,834.3999999999987
2023-07-17,2408.55,2023-08-14,2456.0,0.4960424133811212,10,474.4999999999982
2023-07-18,2416.9,2023-08-16,2445.1,0.28461746417950556,10,281.9999999999982
2023-07-19,2423.75,2023-08-17,2479.7,0.6394024733684323,11,615.449999999998
2023-07-20,2419.75,2023-08-18,2577.4,1.929325378614042,12,1891.800000000001
2023-07-21,2416.3,2023-08-21,2639.75,2.6718766681613397,11,2457.949999999998
2023-07-24,2418.2,2023-08-22,2698.05,3.40561096985898,12,3358.2000000000044
2023-07-25,2466.65,2023-08-23,2530.3,0.7501788946415807,11,700.150000000001
2023-07-26,2470.75,2023-08-24,2539.55,0.7885709607433804,11,756.800000000002
2023-07-27,2428.4,2023-08-25,2495.75,0.7461570419609478,11,740.849999999999
2023-07-28,2463.2,2023-08-28,2472.45,0.10956006768189493,11,101.75
2023-07-31,2492.2,2023-08-29,2506.45,0.16924349430552935,11,156.75
2023-08-01,2481.1,2023-08-30,2513.1,0.37660509005317033,11,352.0
2023-08-02,2473.55,2023-08-31,2419.25,-0.6288621417049286,11,-597.300000000002
2023-08-03,2532.6,2023-09-01,2450.05,-0.9076059213884583,10,-825.4999999999973
2023-08-04,2541.8,2023-09-04,2470.6,-0.809025241457678,11,-783.200000000003
2023-08-07,2550.5,2023-09-05,2494.05,-0.6849540648292586,12,-677.3999999999978
2023-08-08,2474.55,2023-09-06,2496.5,0.2424314143147332,11,241.449999999998
2023-08-09,2507.1,2023-09-07,2509.5,0.026166695870569304,10,24.00000000000091
2023-08-10,2552.4,2023-09-08,2519.3,-0.357603117644788,10,-330.9999999999991
2023-08-11,2539.5,2023-09-11,2614.95,0.794359842075574,10,754.4999999999982
2023-08-17,2479.7,2023-09-14,2519.8,0.40544541942007356,10,401.00000000000364
2023-08-18,2577.4,2023-09-15,2540.05,-0.3244299674267093,8,-298.7999999999993
2023-08-21,2639.75,2023-09-18,2502.45,-1.1678362040159203,8,-1098.4000000000015
2023-08-22,2698.05,2023-09-20,2470.3,-1.898255640888256,8,-1822.0
2023-08-23,2530.3,2023-09-21,2479.25,-0.36925382002299256,7,-357.3500000000013
2023-08-24,2539.55,2023-09-22,2464.9,-0.5421838320169129,7,-522.5500000000006
2023-09-07,2509.5,2023-10-09,2442.6,-0.5396948874195083,8,-535.2000000000007
2023-09-08,2519.3,2023-10-10,2498.3,-0.17628277195664888,8,-168.0
2023-09-11,2614.95,2023-10-11,2488.6,-1.0330398726877188,8,-1010.7999999999993
2023-09-12,2535.7,2023-10-12,2506.35,-0.27267900988784877,9,-264.1499999999992
2023-09-13,2518.9,2023-10-13,2454.55,-0.604925215289318,9,-579.1499999999992
2023-09-14,2519.8,2023-10-16,2429.35,-0.8713872832369991,9,-814.0500000000025
2023-09-15,2540.05,2023-10-17,2428.4,-1.1758157028678933,10,-1116.500000000001
2023-12-05,2959.35,2024-01-03,3003.0,0.24661763370562104,5,218.25000000000045
2023-12-06,2883.95,2024-01-04,2998.3,0.5543378521096297,4,457.40000000000146
2023-12-07,2887.15,2024-01-05,3006.6,0.5626519299839329,4,477.7999999999993
2023-12-08,2822.15,2024-01-08,2963.5,0.6248006946088868,4,565.3999999999996
2023-12-11,2855.8,2024-01-09,3014.6,0.6913419004750001,4,635.1999999999989
2023-12-12,2857.65,2024-01-10,3098.2,1.060751379997321,4,962.1999999999989
2023-12-13,2875.05,2024-01-11,3080.9,0.8981449017912099,4,823.3999999999996
2023-12-14,2894.05,2024-01-12,3104.1,0.9044203015554466,4,840.1999999999989
2023-12-15,2991.8,2024-01-15,3089.5,0.41777004016432134,4,390.7999999999993
2023-12-18,2980.6,2024-01-16,3056.5,0.3609865470852024,4,303.60000000000036
2023-12-19,2941.25,2024-01-17,2971.05,0.14233321392627546,4,119.20000000000073
2023-12-20,2783.85,2024-01-18,2918.9,0.603108527317242,4,540.2000000000007
2023-12-21,2799.75,2024-01-19,2915.65,0.5060385625959977,4,463.60000000000036
2023-12-22,2808.35,2024-01-20,2987.9,0.8543243863271407,4,718.2000000000007
2023-12-26,2865.45,2024-01-23,2896.55,0.18296039499947708,5,155.50000000000182
2023-12-27,2843.35,2024-01-24,2903.45,0.41923268560039856,6,360.59999999999945
2023-12-28,2809.9,2024-01-25,2893.6,0.595245352026821,7,585.8999999999987
2023-12-29,2848.95,2024-01-29,3064.65,1.6695277190363684,7,1509.900000000002
2024-01-01,2917.2,2024-01-30,3091.1,1.350361218575371,7,1217.3000000000006
2024-01-02,2932.4,2024-01-31,3142.0,1.5603323363243573,7,1467.1999999999994
2024-01-03,3003.0,2024-02-01,3153.5,0.9848670756646217,6,903.0
