EntryDate,EntryPrice,ExitDate,ExitPrice,R,Qty,Pnl
2025-07-23,1943.8,2025-08-21,1929.9,-0.28600823045267126,20,-277.99999999999727
2025-09-30,5991.0,2025-10-30,5859.5,-0.8270440251572327,6,-789.0
2025-10-03,5992.5,2025-11-03,5820.5,-1.1325102880658435,6,-1032.0
2025-10-06,6011.0,2025-11-04,5892.5,-0.7753242201191748,6,-711.0
2024-10-31,5889.65,2024-12-02,6255.35,1.8889288580204304,5,1828.5000000000036
2024-11-01,5903.55,2024-12-03,6210.55,1.636585180108144,5,1535.0
2024-11-04,5901.75,2024-12-04,6256.5,2.0759922252178833,5,1773.75
2024-11-05,5811.25,2024-12-05,6096.2,1.535039873789116,5,1424.749999999999
2025-11-26,6510.0,2024-08-09,4830.6,-8.885714285714284,5,-8396.999999999998
2025-05-12,5520.0,2025-06-09,5391.0,-0.5844660194174768,4,-516.0
2024-10-03,1893.4,2024-10-31,1757.25,-2.4055529263290785,17,-2314.5500000000015
2024-10-17,3570.3,2024-11-14,3526.25,-0.3573208181238788,8,-352.40000000000146
2025-06-06,12462.0,2025-07-04,12646.0,0.5679012345679012,3,552.0
2024-09-06,329.8,2024-10-07,328.95,-0.1023655913978527,120,-102.00000000000273
2024-09-09,328.55,2024-10-08,327.15,-0.16353775552774757,116,-162.40000000000396
2024-09-18,4346.15,2024-10-17,4109.0,-1.9646724658263819,8,-1897.199999999997
2024-09-19,4296.15,2024-10-18,4123.05,-1.3897036686594075,8,-1384.7999999999956
2024-09-20,4284.9,2024-10-21,4079.85,-1.6085732296700916,7,-1435.349999999998
2024-09-23,4268.5,2024-10-22,4015.5,-1.9907544014950387,7,-1771.0
2024-09-24,4271.3,2024-10-23,4066.25,-1.6476969436074074,8,-1640.4000000000015
2024-09-25,4274.75,2024-10-24,4047.9,-1.8154483744194385,8,-1814.7999999999993
2024-09-26,4292.5,2024-10-25,4057.55,-1.916673950412263,8,-1879.5999999999985
2024-09-27,4308.7,2024-10-28,4090.85,-1.7380575857303566,7,-1524.9499999999994
2024-10-01,4287.9,2024-10-30,4084.65,-1.7344792904818456,8,-1625.9999999999964
2024-10-07,4272.85,2024-11-04,3964.15,-2.5759499329459206,8,-2469.600000000002
