Date,Equity
2025-02-24,100000.0
2025-02-25,100000.0
2025-02-27,100000.0
2025-02-28,100000.0
2025-03-03,100000.0
2025-03-04,100000.0
2025-03-05,100000.0
2025-03-06,100000.0
2025-03-07,-40149900000.00009
2025-03-10,-1949900000.0002747
2025-03-11,-1949900000.0002747
2025-03-12,-1949900000.0002747
2025-03-13,-1949900000.0002747
2025-03-17,-1949900000.0002747
2025-03-18,-1949898346.0002747
2025-03-19,-1949897138.2002747
2025-03-20,-1949895869.7002747
2025-03-21,-1949894726.7002747
2025-03-24,-1949894009.4002748
2025-03-25,-1949894153.4002748
2025-03-26,-1949893658.9002748
2025-03-27,-1949893460.9002748
2025-03-28,-1949894081.4002748
2025-04-01,-1949894297.4002748
2025-04-02,-1949893094.9002748
2025-04-03,-1949893248.9002748
2025-04-04,-1949893825.9002748
2025-04-07,-1949894319.4002748
2025-04-08,-1949894319.4002748
2025-04-09,-1949894319.4002748
2025-04-11,-1949894319.4002748
2025-04-15,-1949893195.4002748
2025-04-16,-1949892482.8002748
2025-04-17,-1949891507.000275
2025-04-21,-1949890649.500275
2025-04-22,-1949890237.200275
2025-04-23,-1949889852.900275
2025-04-24,-1949889580.900275
2025-04-25,-1949888800.900275
2025-04-28,-1949888800.900275
2025-04-29,-1949887607.400275
2025-04-30,-1949887607.400275
2025-05-02,-1949887607.400275
2025-05-05,-1949887607.400275
2025-05-06,-1949887101.000275
2025-05-07,-1949887101.000275
2025-05-08,-1949887101.000275
2025-05-09,-1949887101.000275
2025-05-12,-1949887101.000275
2025-05-13,-1949886003.400275
2025-05-14,-1949884800.100275
2025-05-15,-1949883965.0002751
2025-05-16,-1949883799.100275
2025-05-19,-1949884128.800275
2025-05-20,-1949884105.0002751
2025-05-21,-1949884196.7002752
2025-05-22,-1949884485.800275
2025-05-23,-1949884954.800275
2025-05-26,-1949885687.600275
2025-05-27,-1949886368.900275
2025-05-28,-1949886715.900275
2025-05-29,-1949886593.900275
2025-05-30,-1949886139.900275
2025-06-02,-1949884623.100275
