Date,Symbol,Strategy,InstrumentToken,Qty,ENTRY_trigger_type,ENTRY_trigger_price,STOPLOSS_trigger_price,TARGET_trigger_price,R,ATR14,RSI14,RSI_Above50,RSI_Overbought,MACD_Line,MACD_Signal,MACD_Hist,MACD_CrossUp,MACD_AboveZero,RSI_MACD_Confirm_D,RSI_MACD_Confirmations_OK,RSI_MACD_Notes,RSI14_Status,GoldenBull_Flag,GoldenBear_Flag,GoldenBull_Date,GoldenBear_Date,Trend_OK,RS_Leader_Flag,AVWAP60,EMA20,EMA50,Close,Entry_Logic,Stop_Logic,Target_Logic,Notes,Explanation,DecisionConfidence,CI_low,CI_high,OOS_WinRate,OOS_ExpectancyR,Trades_OOS,CoverageNote,Confidence_Reason,Ensemble_Count,Ensemble_PassedModules,PlaceGTT,NoTradeReason,Audit_Flag,Issues,Fix_Suggestion,Pivot_Source,Entry_Logic,Stop_Logic,Target_Logic,Latest_Close,Latest_LTP,Delta_vs_Pivot_pct,Canonical_Entry,Canonical_Stop,Canonical_Target,ATR_Used,Risk_Amount
2026-01-07,SETFNIFBK,CompositeScore,NSE_EQ|INF200KA1580,127,BELOW,604.83,597.0,620.47,2.0,5.215,50.86,True,False,1.0462,1.7719,-0.7257,False,True,False,False,RSI/MACD fail,Neutral,0,0,,,1,0,594.72,604.83,598.93,606.15,Pullback Entry: Below EMA20 604.83,EMA50-based stop: ₹598.93,2R target from entry,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=604.83 (BELOW), Stop=597.00 (ATR×1.5), Target=620.47 (2R). RSI(14) ≥50 (bullish bias), MACD cross↑ & above zero with rising histogram; breakout at Don",0.2195972082891347,0.15461875930352934,0.3068828531101681,0.21660418689164143,-1.4643095912320563,7232,Ensemble,"Composite ensemble of 3 strategies (weighted by OOS trades×reliability); calibrated=21.96%, CI=[15.46%, 30.69%]; total OOS trades=7232.",1,TSM,False,EnsembleVote<2;RS_Not_Leader;RSI_MACD_Confirm_Fail;LowConfidence(0.22),PASS,,,Close,Entry at Close (606.15),Stop 1.5x ATR below entry (ATR=5.21),Target 2.0R from entry (Risk=7.80),606.15,606.15,-0.21776787923780191,606.15,598.35,621.75,5.214999999999991,7.7999999999999545
2026-01-07,SBILIQETF,CompositeScore,NSE_EQ|INF200KB1969,257,BELOW,1018.48,1014.59,1026.25,2.0,2.591,100.0,True,True,2.0668,2.3563,-0.2895,False,True,False,False,RSI/MACD fail,Overbought,0,0,2025-08-13,,1,0,1018.0,1018.48,996.13,1020.55,Pullback Entry: Below EMA20 1018.48,EMA50-based stop: ₹996.13,2R target from entry,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=1018.48 (BELOW), Stop=1014.59 (ATR×1.5), Target=1026.25 (2R). RSI(14) ≥50 (bullish bias), MACD cross↑ & above zero with rising histogram; breakout at ",0.2195972082891347,0.15461875930352934,0.3068828531101681,0.21660418689164143,-1.4643095912320563,7232,Ensemble,"Composite ensemble of 3 strategies (weighted by OOS trades×reliability); calibrated=21.96%, CI=[15.46%, 30.69%]; total OOS trades=7232.",1,TSM,False,EnsembleVote<2;RS_Not_Leader;RSI_MACD_Confirm_Fail;LowConfidence(0.22),PASS,,,Close,Entry at Close (1020.55),Stop 1.5x ATR below entry (ATR=2.59),Target 2.0R from entry (Risk=3.90),1020.55,1020.55,-0.2028318063789071,1020.5500000000001,1016.6500000000001,1028.3500000000001,2.590714285714252,3.8999999999999773
2026-01-07,MOM30IETF,CompositeScore,NSE_EQ|INF109KC17C7,1498,BELOW,31.92,31.25,33.25,2.0,0.445,49.44,False,False,-0.1093,-0.0984,-0.0109,False,False,False,False,RSI/MACD fail,Neutral,0,0,,,0,0,31.94,31.92,31.94,31.77,Pullback Entry: Below EMA20 31.92,EMA50-based stop: ₹31.94,2R target from entry,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=31.92 (BELOW), Stop=31.25 (ATR×1.5), Target=33.25 (2R). RSI(14) ≥50 (bullish bias), MACD cross↑ & above zero with rising histogram; breakout at Donchi",0.2195972082891347,0.15461875930352934,0.3068828531101681,0.21660418689164143,-1.4643095912320563,7232,Ensemble,"Composite ensemble of 3 strategies (weighted by OOS trades×reliability); calibrated=21.96%, CI=[15.46%, 30.69%]; total OOS trades=7232.",1,TSM,False,EnsembleVote<2;RegimeFail;RS_Not_Leader;RSI_MACD_Confirm_Fail;LowConfidence(0.22),PASS,,,Close,Entry at Close (31.77),Stop 1.5x ATR below entry (ATR=0.44),Target 2.0R from entry (Risk=0.65),31.77,31.77,0.4721435316336234,31.75,31.1,33.050000000000004,0.44499999999997414,0.6499999999999986
2026-01-07,FINIETF,CompositeScore,NSE_EQ|INF109KC17L8,1148,BELOW,32.34,31.47,34.08,2.0,0.581,51.41,True,False,0.0594,0.0579,0.0016,False,True,False,False,RSI/MACD fail,Neutral,0,0,,,0,0,32.15,32.34,32.05,32.27,Pullback Entry: Below EMA20 32.34,EMA50-based stop: ₹32.05,2R target from entry,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=32.34 (BELOW), Stop=31.47 (ATR×1.5), Target=34.08 (2R). RSI(14) ≥50 (bullish bias), MACD cross↑ & above zero with rising histogram; breakout at Donchi",0.2195972082891347,0.15461875930352934,0.3068828531101681,0.21660418689164143,-1.4643095912320563,7232,Ensemble,"Composite ensemble of 3 strategies (weighted by OOS trades×reliability); calibrated=21.96%, CI=[15.46%, 30.69%]; total OOS trades=7232.",1,TSM,False,EnsembleVote<2;RegimeFail;RS_Not_Leader;RSI_MACD_Confirm_Fail;LowConfidence(0.22),PASS,,,Close,Entry at Close (32.27),Stop 1.5x ATR below entry (ATR=0.58),Target 2.0R from entry (Risk=0.85),32.27,32.27,0.21691973969631323,32.25,31.400000000000002,33.95,0.5807142857142694,0.8499999999999979
2026-01-07,NIFTYETF,CompositeScore,NSE_EQ|INF769K01EG9,251,BELOW,280.53,276.55,288.48,2.0,2.652,53.77,True,False,0.3774,0.4932,-0.1159,False,True,False,False,RSI/MACD fail,Neutral,0,0,2025-05-12,2025-01-27,0,0,279.29,280.53,278.79,280.2,Pullback Entry: Below EMA20 280.53,EMA50-based stop: ₹278.79,2R target from entry,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=280.53 (BELOW), Stop=276.55 (ATR×1.5), Target=288.48 (2R). RSI(14) ≥50 (bullish bias), MACD cross↑ & above zero with rising histogram; breakout at Don",0.2195972082891347,0.15461875930352934,0.3068828531101681,0.21660418689164143,-1.4643095912320563,7232,Ensemble,"Composite ensemble of 3 strategies (weighted by OOS trades×reliability); calibrated=21.96%, CI=[15.46%, 30.69%]; total OOS trades=7232.",1,TSM,False,EnsembleVote<2;RegimeFail;RS_Not_Leader;RSI_MACD_Confirm_Fail;LowConfidence(0.22),PASS,,,Close,Entry at Close (280.20),Stop 1.5x ATR below entry (ATR=2.65),Target 2.0R from entry (Risk=4.00),280.2,280.2,0.11777301927194293,280.2,276.2,288.2,2.6521428571428283,4.0
2026-01-07,ITETF,CompositeScore,NSE_EQ|INF769K01KV5,792,BELOW,40.01,38.75,42.54,2.0,0.841,48.62,False,False,0.442,0.5602,-0.1183,False,True,False,False,RSI/MACD fail,Neutral,0,0,,,0,0,38.6,40.01,39.1,39.77,Pullback Entry: Below EMA20 40.01,EMA50-based stop: ₹39.1,2R target from entry,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=40.01 (BELOW), Stop=38.75 (ATR×1.5), Target=42.54 (2R). RSI(14) ≥50 (bullish bias), MACD cross↑ & above zero with rising histogram; breakout at Donchi",0.2195972082891347,0.15461875930352934,0.3068828531101681,0.21660418689164143,-1.4643095912320563,7232,Ensemble,"Composite ensemble of 3 strategies (weighted by OOS trades×reliability); calibrated=21.96%, CI=[15.46%, 30.69%]; total OOS trades=7232.",1,TSM,False,EnsembleVote<2;RegimeFail;RS_Not_Leader;RSI_MACD_Confirm_Fail;LowConfidence(0.22),PASS,,,Close,Entry at Close (39.77),Stop 1.5x ATR below entry (ATR=0.84),Target 2.0R from entry (Risk=1.25),39.77,39.77,0.6034699522252825,39.75,38.5,42.25,0.8414285714285548,1.25
2026-01-07,BSLSENETFG,CompositeScore,NSE_EQ|INF209KB10E8,341,BELOW,85.05,82.12,90.91,2.0,1.954,52.74,True,False,0.1213,0.1742,-0.0529,False,True,False,False,RSI/MACD fail,Neutral,0,0,2025-11-04,2025-01-29,1,0,84.39,85.05,84.48,85.05,Pullback Entry: Below EMA20 85.05,EMA50-based stop: ₹84.48,2R target from entry,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=85.05 (BELOW), Stop=82.12 (ATR×1.5), Target=90.91 (2R). RSI(14) ≥50 (bullish bias), MACD cross↑ & above zero with rising histogram; breakout at Donchi",0.2195972082891347,0.15461875930352934,0.3068828531101681,0.21660418689164143,-1.4643095912320563,7232,Ensemble,"Composite ensemble of 3 strategies (weighted by OOS trades×reliability); calibrated=21.96%, CI=[15.46%, 30.69%]; total OOS trades=7232.",0,,False,EnsembleVote<2;RS_Not_Leader;RSI_MACD_Confirm_Fail;LowConfidence(0.22),PASS,,,Close,Entry at Close (85.05),Stop 1.5x ATR below entry (ATR=1.95),Target 2.0R from entry (Risk=2.95),85.05,85.05,0.0,85.05000000000001,82.10000000000001,90.95,1.953571428571413,2.950000000000003
2026-01-07,LIQUIDBETF,CompositeScore,NSE_EQ|INF0QA701854,2953,BELOW,1060.94,1060.6,1061.62,2.0,0.226,100.0,True,True,1.438,1.4149,0.0231,False,True,False,False,RSI/MACD fail,Overbought,0,0,,,1,0,1056.48,1060.94,1057.85,1062.95,Pullback Entry: Below EMA20 1060.94,EMA50-based stop: ₹1057.85,2R target from entry,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=1060.94 (BELOW), Stop=1060.60 (ATR×1.5), Target=1061.62 (2R). RSI(14) ≥50 (bullish bias), MACD cross↑ & above zero with rising histogram; breakout at ",0.2195972082891347,0.15461875930352934,0.3068828531101681,0.21660418689164143,-1.4643095912320563,7232,Ensemble,"Composite ensemble of 3 strategies (weighted by OOS trades×reliability); calibrated=21.96%, CI=[15.46%, 30.69%]; total OOS trades=7232.",1,TSM,False,EnsembleVote<2;RS_Not_Leader;RSI_MACD_Confirm_Fail;LowConfidence(0.22),PASS,,,Close,Entry at Close (1062.95),Stop 1.5x ATR below entry (ATR=0.23),Target 2.0R from entry (Risk=0.35),1062.95,1062.95,-0.18909638270849907,1062.95,1062.6000000000001,1063.65,0.22571428571425095,0.34999999999990905
2026-01-07,BANKBEES,CompositeScore,NSE_EQ|INF204KB15I9,122,BELOW,609.67,601.48,626.03,2.0,5.456,52.49,True,False,0.9986,1.691,-0.6925,False,True,False,False,RSI/MACD fail,Neutral,0,0,,,1,0,600.88,609.67,603.84,611.56,Pullback Entry: Below EMA20 609.67,EMA50-based stop: ₹603.84,2R target from entry,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=609.67 (BELOW), Stop=601.48 (ATR×1.5), Target=626.03 (2R). RSI(14) ≥50 (bullish bias), MACD cross↑ & above zero with rising histogram; breakout at Don",0.2195972082891347,0.15461875930352934,0.3068828531101681,0.21660418689164143,-1.4643095912320563,7232,Ensemble,"Composite ensemble of 3 strategies (weighted by OOS trades×reliability); calibrated=21.96%, CI=[15.46%, 30.69%]; total OOS trades=7232.",1,TSM,False,EnsembleVote<2;RS_Not_Leader;RSI_MACD_Confirm_Fail;LowConfidence(0.22),PASS,,,Close,Entry at Close (611.56),Stop 1.5x ATR below entry (ATR=5.46),Target 2.0R from entry (Risk=8.20),611.56,611.56,-0.30904571914448076,611.5500000000001,603.35,627.95,5.455714285714298,8.200000000000045
2026-01-07,PSUBNKBEES,CompositeScore,NSE_EQ|INF204KB16I7,310,BELOW,92.62,89.4,99.06,2.0,2.146,62.26,True,False,0.1676,0.1767,-0.0091,False,True,False,False,RSI/MACD fail,Neutral,0,0,,,1,0,91.43,92.62,91.09,93.89,Pullback Entry: Below EMA20 92.62,EMA50-based stop: ₹91.09,2R target from entry,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=92.62 (BELOW), Stop=89.40 (ATR×1.5), Target=99.06 (2R). RSI(14) ≥50 (bullish bias), MACD cross↑ & above zero with rising histogram; breakout at Donchi",0.2195972082891347,0.15461875930352934,0.3068828531101681,0.21660418689164143,-1.4643095912320563,7232,Ensemble,"Composite ensemble of 3 strategies (weighted by OOS trades×reliability); calibrated=21.96%, CI=[15.46%, 30.69%]; total OOS trades=7232.",1,TSM,False,EnsembleVote<2;RS_Not_Leader;RSI_MACD_Confirm_Fail;LowConfidence(0.22),PASS,,,Close,Entry at Close (93.89),Stop 1.5x ATR below entry (ATR=2.15),Target 2.0R from entry (Risk=3.20),93.89,93.89,-1.3526467142400638,93.9,90.7,100.30000000000001,2.146428571428547,3.200000000000003
