Date,Symbol,Strategy,InstrumentToken,Qty,ENTRY_trigger_type,ENTRY_trigger_price,STOPLOSS_trigger_price,TARGET_trigger_price,R,ATR14,RSI14,RSI_Above50,RSI_Overbought,MACD_Line,MACD_Signal,MACD_Hist,MACD_CrossUp,MACD_AboveZero,RSI_MACD_Confirm_D,RSI_MACD_Confirmations_OK,RSI_MACD_Notes,RSI14_Status,GoldenBull_Flag,GoldenBear_Flag,GoldenBull_Date,GoldenBear_Date,Trend_OK,RS_Leader_Flag,Notes,Explanation,DecisionConfidence,CI_low,CI_high,OOS_WinRate,OOS_ExpectancyR,Trades_OOS,CoverageNote,Confidence_Reason,Ensemble_Count,Ensemble_PassedModules,PlaceGTT,NoTradeReason,Audit_Flag,Issues,Fix_Suggestion,Pivot_Source,Entry_Logic,Stop_Logic,Target_Logic,Latest_Close,Latest_LTP,Delta_vs_Pivot_pct,Canonical_Entry,Canonical_Stop,Canonical_Target,ATR_Used,Risk_Amount,Audit_Flag,Issues,Fix_Suggestion,Pivot_Source,Entry_Logic,Stop_Logic,Target_Logic,Latest_Close,Latest_LTP,Delta_vs_Pivot_pct,Canonical_Entry,Canonical_Stop,Canonical_Target,ATR_Used,Risk_Amount
2025-12-23,,CompositeScore,,0,BELOW,4963.65,2173.36,10544.22,2.0,1860.19,99.84,True,True,3668.6339,1069.8481,2598.7859,False,True,False,False,RSI/MACD fail,Overbought,0,0,,,1,1,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=4963.65 (BELOW), Stop=2173.36 (ATR×1.5), Target=10544.22 (2R). RSI(14) ≥50 (bullish bias), MACD cross↑ & above zero with rising histogram; breakout at",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,1,TSM,False,EnsembleVote<2;RSI_MACD_Confirm_Fail;LowConfidence(0.50);Audit_FAIL,FAIL,ENTRY deviates 81.0% from canonical (26137.55),Use canonical ENTRY=26137.55 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (26137.55),Stop 1.5x ATR below entry (ATR=1860.19),Target 2.0R from entry (Risk=2790.30),26137.55,26137.55,-81.00950548157728,26137.550000000003,23347.25,31718.15,1860.1900000000005,2790.300000000003,FAIL,Missing indicator or latest data,Ensure symbol data is available in both datasets,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-23,COALINDIA,CompositeScore,NSE_EQ|INE522F01014,120,BELOW,383.28,375.0,399.86,2.0,5.525,73.11,True,True,1.8098,0.2523,1.5576,False,True,False,False,RSI/MACD fail,Overbought,0,0,2024-05-27,2024-11-07,0,1,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=383.28 (BELOW), Stop=375.00 (ATR×1.5), Target=399.86 (2R). RSI(14) ≥50 (bullish bias), MACD cross↑ & above zero with rising histogram; breakout at Don",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,0,,False,EnsembleVote<2;RegimeFail;RSI_MACD_Confirm_Fail;LowConfidence(0.50);Audit_FAIL,FAIL,ENTRY deviates 3.2% from canonical (395.80),Use canonical ENTRY=395.80 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (395.80),Stop 1.5x ATR below entry (ATR=5.52),Target 2.0R from entry (Risk=8.30),395.8,395.8,-3.1632137443153208,395.8,387.5,412.4,5.52499999999999,8.300000000000011,PASS,,,Close,Entry at Close (386.25),Stop 1.5x ATR below entry (ATR=4.96),Target 2.0R from entry (Risk=7.45),385.6,385.6,-0.7689320388349585,386.25,378.8,401.15000000000003,4.964285714285702,7.449999999999989
2025-12-23,TMPV,CompositeScore,,66,BELOW,267.7,252.56,297.99,2.0,10.096,94.45,True,True,12.4598,5.8596,6.6002,False,True,False,False,RSI/MACD fail,Overbought,1,0,2025-12-23,,1,1,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=267.70 (BELOW), Stop=252.56 (ATR×1.5), Target=297.99 (2R). RSI(14) ≥50 (bullish bias), MACD cross↑ & above zero with rising histogram; breakout at Don",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,1,TSM,False,EnsembleVote<2;RSI_MACD_Confirm_Fail;LowConfidence(0.50);Audit_FAIL,FAIL,ENTRY deviates 25.3% from canonical (358.60),Use canonical ENTRY=358.60 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (358.60),Stop 1.5x ATR below entry (ATR=10.10),Target 2.0R from entry (Risk=15.15),358.6,358.6,-25.348577802565543,358.6,343.45000000000005,388.9,10.09571428571428,15.149999999999975,FAIL,Missing indicator or latest data,Ensure symbol data is available in both datasets,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-23,TATAMOTORS,CompositeScore,NSE_EQ|INE155A01022,99,BELOW,357.9,347.88,377.93,2.0,6.679,46.68,False,False,-14.7845,-20.2612,5.4767,False,False,False,False,RSI/MACD fail,Neutral,0,0,2024-01-09,2024-11-01,0,1,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=357.90 (BELOW), Stop=347.88 (ATR×1.5), Target=377.93 (2R). RSI(14) ≥50 (bullish bias), MACD cross↑ & above zero with rising histogram; breakout at Don",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,0,,False,EnsembleVote<2;RegimeFail;RSI_MACD_Confirm_Fail;LowConfidence(0.50),PASS,,,Close,Entry at Close (359.15),Stop 1.5x ATR below entry (ATR=6.68),Target 2.0R from entry (Risk=10.00),359.15,359.15,-0.348043992760685,359.15000000000003,349.15000000000003,379.15,6.678571428571432,10.0,PASS,,,Close,Entry at Close (359.15),Stop 1.5x ATR below entry (ATR=6.68),Target 2.0R from entry (Risk=10.00),352.65,352.65,-0.348043992760685,359.15000000000003,349.15000000000003,379.15000000000003,6.678571428571432,10.0
2025-12-23,HINDALCO,CompositeScore,NSE_EQ|INE038A01020,38,BELOW,831.77,805.57,884.17,2.0,17.468,73.52,True,True,15.3283,11.2495,4.0788,False,True,False,False,RSI/MACD fail,Overbought,0,0,2025-07-10,2023-04-06,1,1,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=831.77 (BELOW), Stop=805.57 (ATR×1.5), Target=884.17 (2R). RSI(14) ≥50 (bullish bias), MACD cross↑ & above zero with rising histogram; breakout at Don",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,1,TSM,False,EnsembleVote<2;RSI_MACD_Confirm_Fail;LowConfidence(0.50);Audit_FAIL,FAIL,ENTRY deviates 4.4% from canonical (869.90),Use canonical ENTRY=869.90 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (869.90),Stop 1.5x ATR below entry (ATR=17.47),Target 2.0R from entry (Risk=26.20),869.9,869.9,-4.383262443959075,869.9000000000001,843.7,922.3,17.467857142857156,26.200000000000045,FAIL,ENTRY deviates 3.8% from canonical (864.55),Use canonical ENTRY=864.55 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (864.55),Stop 1.5x ATR below entry (ATR=17.55),Target 2.0R from entry (Risk=26.35),852.0,852.0,-3.7915678676768234,864.5500000000001,838.2,917.25,17.55000000000001,26.350000000000023
2025-12-23,UPL,CompositeScore,NSE_EQ|INE628A01036,38,BELOW,750.93,725.1,802.58,2.0,17.218,63.55,True,False,5.9775,5.4069,0.5706,True,True,True,True,RSI≥50; MACD↑ & >0; Hist↑,Neutral,0,0,2025-07-18,,1,0,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=750.93 (BELOW), Stop=725.10 (ATR×1.5), Target=802.58 (2R). RSI(14) ≥50 (bullish bias), MACD cross↑ & above zero with rising histogram; breakout at Don",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,1,TSM,False,EnsembleVote<2;RS_Not_Leader;RSI_MACD_Confirm_Fail;LowConfidence(0.50);Audit_FAIL,FAIL,ENTRY deviates 4.0% from canonical (781.85),Use canonical ENTRY=781.85 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (781.85),Stop 1.5x ATR below entry (ATR=17.22),Target 2.0R from entry (Risk=25.85),781.85,781.85,-3.954722772910414,781.85,756.0,833.5500000000001,17.21785714285713,25.850000000000023,FAIL,ENTRY deviates 3.3% from canonical (776.55),Use canonical ENTRY=776.55 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (776.55),Stop 1.5x ATR below entry (ATR=16.99),Target 2.0R from entry (Risk=25.50),751.55,751.55,-3.2992080355418203,776.5500000000001,751.0500000000001,827.5500000000001,16.992857142857133,25.5
2025-12-23,DIVISLAB,CompositeScore,NSE_EQ|INE361B01024,5,BELOW,6420.55,6231.23,6799.19,2.0,126.214,57.91,True,False,-11.3158,-24.6337,13.3179,False,False,False,False,RSI/MACD fail,Neutral,0,0,2023-03-29,,1,0,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=6420.55 (BELOW), Stop=6231.23 (ATR×1.5), Target=6799.19 (2R). RSI(14) ≥50 (bullish bias), MACD cross↑ & above zero with rising histogram; breakout at ",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,1,TSM,False,EnsembleVote<2;RS_Not_Leader;RSI_MACD_Confirm_Fail;LowConfidence(0.50),PASS,,,Close,Entry at Close (6536.50),Stop 1.5x ATR below entry (ATR=126.21),Target 2.0R from entry (Risk=189.30),6536.5,6536.5,-1.7738851067084802,6536.5,6347.200000000001,6915.1,126.21428571428572,189.29999999999927,PASS,,,Close,Entry at Close (6511.50),Stop 1.5x ATR below entry (ATR=128.46),Target 2.0R from entry (Risk=192.70),6478.5,6478.5,-1.3967595792060175,6511.5,6318.8,6896.900000000001,128.46428571428572,192.69999999999982
2025-12-23,TITAN,CompositeScore,NSE_EQ|INE280A01028,10,BELOW,3875.2,3782.89,4059.81,2.0,61.536,56.6,True,False,32.7993,29.1583,3.6409,False,True,False,False,RSI/MACD fail,Neutral,0,0,2025-05-19,2025-02-10,1,0,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=3875.20 (BELOW), Stop=3782.89 (ATR×1.5), Target=4059.81 (2R). RSI(14) ≥50 (bullish bias), MACD cross↑ & above zero with rising histogram; breakout at ",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,1,TSM,False,EnsembleVote<2;RS_Not_Leader;RSI_MACD_Confirm_Fail;LowConfidence(0.50),PASS,,,Close,Entry at Close (3938.00),Stop 1.5x ATR below entry (ATR=61.54),Target 2.0R from entry (Risk=92.30),3938.0,3938.0,-1.5947181310309848,3938.0,3845.7,4122.6,61.53571428571432,92.29999999999971,PASS,,,Close,Entry at Close (3933.80),Stop 1.5x ATR below entry (ATR=62.07),Target 2.0R from entry (Risk=93.10),3930.1,3930.1,-1.489653769891717,3933.8,3840.7000000000003,4120.0,62.071428571428605,93.09999999999991
2025-12-23,BRITANNIA,CompositeScore,NSE_EQ|INE216A01030,5,BELOW,5960.73,5792.03,6298.12,2.0,112.464,61.01,True,False,47.6562,22.7787,24.8775,False,True,False,False,RSI/MACD fail,Neutral,0,0,2025-05-07,2024-12-06,1,1,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=5960.73 (BELOW), Stop=5792.03 (ATR×1.5), Target=6298.12 (2R). RSI(14) ≥50 (bullish bias), MACD cross↑ & above zero with rising histogram; breakout at ",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,1,TSM,False,EnsembleVote<2;RSI_MACD_Confirm_Fail;LowConfidence(0.50),PASS,,,Close,Entry at Close (6057.00),Stop 1.5x ATR below entry (ATR=112.46),Target 2.0R from entry (Risk=168.70),6057.0,6057.0,-1.5894006934125875,6057.0,5888.3,6394.400000000001,112.46428571428572,168.69999999999982,FAIL,ENTRY deviates 2.0% from canonical (6083.00),Use canonical ENTRY=6083.00 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (6083.00),Stop 1.5x ATR below entry (ATR=110.89),Target 2.0R from entry (Risk=166.35),6103.0,6103.0,-2.0100279467368147,6083.0,5916.650000000001,6415.700000000001,110.89285714285714,166.34999999999945
2025-12-23,MARUTI,CompositeScore,NSE_EQ|INE585B01010,2,BELOW,16237.7,15892.48,16928.13,2.0,230.143,59.84,True,False,144.2743,113.3558,30.9185,False,True,False,False,RSI/MACD fail,Neutral,0,0,2025-01-31,2024-11-22,1,0,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=16237.70 (BELOW), Stop=15892.48 (ATR×1.5), Target=16928.13 (2R). RSI(14) ≥50 (bullish bias), MACD cross↑ & above zero with rising histogram; breakout ",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,1,TSM,False,EnsembleVote<2;RS_Not_Leader;RSI_MACD_Confirm_Fail;LowConfidence(0.50);Audit_FAIL,FAIL,ENTRY deviates 2.2% from canonical (16604.00),Use canonical ENTRY=16604.00 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (16604.00),Stop 1.5x ATR below entry (ATR=230.14),Target 2.0R from entry (Risk=345.20),16604.0,16604.0,-2.206094916887493,16604.0,16258.8,17294.4,230.14285714285717,345.1999999999989,FAIL,ENTRY deviates 2.5% from canonical (16649.00),Use canonical ENTRY=16649.00 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (16649.00),Stop 1.5x ATR below entry (ATR=228.21),Target 2.0R from entry (Risk=342.30),16414.0,16414.0,-2.4704186437623834,16649.0,16306.7,17333.600000000002,228.2142857142857,342.2999999999993
