Date,Symbol,Strategy,InstrumentToken,Qty,ENTRY_trigger_type,ENTRY_trigger_price,STOPLOSS_trigger_price,TARGET_trigger_price,R,ATR14,RSI14,RSI_Above50,RSI_Overbought,MACD_Line,MACD_Signal,MACD_Hist,MACD_CrossUp,MACD_AboveZero,RSI_MACD_Confirm_D,RSI_MACD_Confirmations_OK,RSI_MACD_Notes,RSI14_Status,GoldenBull_Flag,GoldenBear_Flag,GoldenBull_Date,GoldenBear_Date,Trend_OK,RS_Leader_Flag,AVWAP60,EMA20,EMA50,Close,Entry_Logic,Stop_Logic,Target_Logic,Notes,Explanation,DecisionConfidence,CI_low,CI_high,OOS_WinRate,OOS_ExpectancyR,Trades_OOS,CoverageNote,Confidence_Reason,Ensemble_Count,Ensemble_PassedModules,PlaceGTT,NoTradeReason,Audit_Flag,Issues,Fix_Suggestion,Pivot_Source,Entry_Logic,Stop_Logic,Target_Logic,Latest_Close,Latest_LTP,Delta_vs_Pivot_pct,Canonical_Entry,Canonical_Stop,Canonical_Target,ATR_Used,Risk_Amount
2026-01-08,AXISTECETF,CompositeScore,NSE_EQ|INF846K01Y96,96,BELOW,416.11,405.72,436.89,2.0,6.927,56.18,True,False,2.2911,3.4607,-1.1696,False,True,False,False,RSI/MACD fail,Neutral,0,0,2025-11-13,2025-09-29,1,0,409.17,416.11,408.76,420.87,Pullback Entry: Below EMA20 416.11,EMA50-based stop: ₹408.76,2R target from entry,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=416.11 (BELOW), Stop=405.72 (ATR×1.5), Target=436.89 (2R). RSI(14) ≥50 (bullish bias), MACD cross↑ & above zero with rising histogram; breakout at Don",0.21783283667618594,0.15308857826724617,0.30512417528187064,0.21480665213143352,-1.4643095912320563,7232,Ensemble,"Composite ensemble of 3 strategies (weighted by OOS trades×reliability); calibrated=21.78%, CI=[15.31%, 30.51%]; total OOS trades=7232.",0,,False,EnsembleVote<2;RS_Not_Leader;RSI_MACD_Confirm_Fail;LowConfidence(0.22),PASS,,,Close,Entry at Close (420.87),Stop 1.5x ATR below entry (ATR=6.93),Target 2.0R from entry (Risk=10.40),420.87,420.87,-1.1309905671585028,420.85,410.45000000000005,441.65000000000003,6.927142857142935,10.399999999999977
2026-01-08,LOWVOLIETF,CompositeScore,NSE_EQ|INF109KC19U5,1687,BELOW,23.18,22.59,24.37,2.0,0.395,72.55,True,True,0.0936,0.0704,0.0232,False,True,False,False,RSI/MACD fail,Overbought,0,0,,,0,0,22.97,23.18,23.01,23.42,Pullback Entry: Below EMA20 23.18,EMA50-based stop: ₹23.01,2R target from entry,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=23.18 (BELOW), Stop=22.59 (ATR×1.5), Target=24.37 (2R). RSI(14) ≥50 (bullish bias), MACD cross↑ & above zero with rising histogram; breakout at Donchi",0.21783283667618594,0.15308857826724617,0.30512417528187064,0.21480665213143352,-1.4643095912320563,7232,Ensemble,"Composite ensemble of 3 strategies (weighted by OOS trades×reliability); calibrated=21.78%, CI=[15.31%, 30.51%]; total OOS trades=7232.",1,TSM,False,EnsembleVote<2;RegimeFail;RS_Not_Leader;RSI_MACD_Confirm_Fail;LowConfidence(0.22),PASS,,,Close,Entry at Close (23.42),Stop 1.5x ATR below entry (ATR=0.40),Target 2.0R from entry (Risk=0.60),23.42,23.42,-1.0247651579846369,23.400000000000002,22.8,24.6,0.3950000000000973,0.6000000000000014
2026-01-08,QUAL30IETF,CompositeScore,NSE_EQ|INF109KC18V5,2666,BELOW,22.01,21.63,22.76,2.0,0.25,71.94,True,True,0.0881,0.0646,0.0235,False,True,False,False,RSI/MACD fail,Overbought,0,0,2025-11-18,,1,1,21.86,22.01,21.86,22.28,Pullback Entry: Below EMA20 22.01,EMA50-based stop: ₹21.86,2R target from entry,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=22.01 (BELOW), Stop=21.63 (ATR×1.5), Target=22.76 (2R). RSI(14) ≥50 (bullish bias), MACD cross↑ & above zero with rising histogram; breakout at Donchi",0.21783283667618594,0.15308857826724617,0.30512417528187064,0.21480665213143352,-1.4643095912320563,7232,Ensemble,"Composite ensemble of 3 strategies (weighted by OOS trades×reliability); calibrated=21.78%, CI=[15.31%, 30.51%]; total OOS trades=7232.",1,TSM,False,EnsembleVote<2;RSI_MACD_Confirm_Fail;LowConfidence(0.22),PASS,,,Close,Entry at Close (22.28),Stop 1.5x ATR below entry (ATR=0.25),Target 2.0R from entry (Risk=0.40),22.28,22.28,-1.2118491921005365,22.3,21.900000000000002,23.1,0.250000000000098,0.3999999999999986
2026-01-08,CONCORDBIO,CompositeScore,NSE_EQ|INE338H01029,17,BELOW,1356.02,1297.7,1472.65,2.0,38.879,62.16,True,False,-18.0101,-24.2967,6.2866,False,False,False,False,RSI/MACD fail,Neutral,0,0,2024-08-26,2025-09-25,0,0,1418.28,1356.02,1408.73,1370.1,Pullback Entry: Below EMA20 1356.02,EMA50-based stop: ₹1408.73,2R target from entry,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=1356.02 (BELOW), Stop=1297.70 (ATR×1.5), Target=1472.65 (2R). RSI(14) ≥50 (bullish bias), MACD cross↑ & above zero with rising histogram; breakout at ",0.21783283667618594,0.15308857826724617,0.30512417528187064,0.21480665213143352,-1.4643095912320563,7232,Ensemble,"Composite ensemble of 3 strategies (weighted by OOS trades×reliability); calibrated=21.78%, CI=[15.31%, 30.51%]; total OOS trades=7232.",0,,False,EnsembleVote<2;RegimeFail;RS_Not_Leader;RSI_MACD_Confirm_Fail;LowConfidence(0.22),PASS,,,Close,Entry at Close (1370.10),Stop 1.5x ATR below entry (ATR=38.88),Target 2.0R from entry (Risk=58.30),1370.1,1370.1,-1.0276622144368972,1370.1000000000001,1311.8000000000002,1486.7,38.878571428571476,58.299999999999955
2026-01-08,OILIETF,CompositeScore,NSE_EQ|INF109KC18W3,2862,BELOW,12.19,11.85,12.89,2.0,0.233,52.42,True,False,0.0504,0.0439,0.0065,False,True,False,False,RSI/MACD fail,Neutral,0,0,,2024-08-30,0,0,12.16,12.19,12.09,12.09,Pullback Entry: Below EMA20 12.19,EMA50-based stop: ₹12.09,2R target from entry,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=12.19 (BELOW), Stop=11.85 (ATR×1.5), Target=12.89 (2R). RSI(14) ≥50 (bullish bias), MACD cross↑ & above zero with rising histogram; breakout at Donchi",0.21783283667618594,0.15308857826724617,0.30512417528187064,0.21480665213143352,-1.4643095912320563,7232,Ensemble,"Composite ensemble of 3 strategies (weighted by OOS trades×reliability); calibrated=21.78%, CI=[15.31%, 30.51%]; total OOS trades=7232.",1,TSM,False,EnsembleVote<2;RegimeFail;RS_Not_Leader;RSI_MACD_Confirm_Fail;LowConfidence(0.22),PASS,,,Close,Entry at Close (12.09),Stop 1.5x ATR below entry (ATR=0.23),Target 2.0R from entry (Risk=0.35),12.09,12.09,0.8271298593879209,12.100000000000001,11.75,12.8,0.23285714285724005,0.3500000000000014
2026-01-08,CIPLA,CompositeScore,NSE_EQ|INE059A01026,28,BELOW,1505.84,1470.58,1576.36,2.0,23.507,42.21,False,False,-3.8022,-4.0201,0.2179,False,False,False,False,RSI/MACD fail,Neutral,0,0,2024-08-27,,0,0,1528.82,1505.84,1515.18,1467.9,Pullback Entry: Below EMA20 1505.84,EMA50-based stop: ₹1515.18,2R target from entry,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=1505.84 (BELOW), Stop=1470.58 (ATR×1.5), Target=1576.36 (2R). RSI(14) ≥50 (bullish bias), MACD cross↑ & above zero with rising histogram; breakout at ",0.21783283667618594,0.15308857826724617,0.30512417528187064,0.21480665213143352,-1.4643095912320563,7232,Ensemble,"Composite ensemble of 3 strategies (weighted by OOS trades×reliability); calibrated=21.78%, CI=[15.31%, 30.51%]; total OOS trades=7232.",1,TSM,False,EnsembleVote<2;RegimeFail;RS_Not_Leader;RSI_MACD_Confirm_Fail;LowConfidence(0.22);Audit_FAIL,FAIL,ENTRY deviates 2.6% from canonical (1467.90),Use canonical ENTRY=1467.90 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (1467.90),Stop 1.5x ATR below entry (ATR=23.51),Target 2.0R from entry (Risk=35.25),1467.9,1467.9,2.5846447305674656,1467.9,1432.65,1538.4,23.50714285714285,35.25
2026-01-08,ELECON,CompositeScore,NSE_EQ|INE205B01031,36,BELOW,489.35,462.27,543.51,2.0,18.054,65.38,True,False,-1.6281,-6.5216,4.8935,False,False,False,False,RSI/MACD fail,Neutral,0,0,2025-05-13,2025-11-10,0,1,515.74,489.35,505.62,517.85,Pullback Entry: Below EMA20 489.35,EMA50-based stop: ₹505.62,2R target from entry,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=489.35 (BELOW), Stop=462.27 (ATR×1.5), Target=543.51 (2R). RSI(14) ≥50 (bullish bias), MACD cross↑ & above zero with rising histogram; breakout at Don",0.21783283667618594,0.15308857826724617,0.30512417528187064,0.21480665213143352,-1.4643095912320563,7232,Ensemble,"Composite ensemble of 3 strategies (weighted by OOS trades×reliability); calibrated=21.78%, CI=[15.31%, 30.51%]; total OOS trades=7232.",0,,False,EnsembleVote<2;RegimeFail;RSI_MACD_Confirm_Fail;LowConfidence(0.22);Audit_FAIL,FAIL,ENTRY deviates 5.5% from canonical (517.85),Use canonical ENTRY=517.85 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (517.85),Stop 1.5x ATR below entry (ATR=18.05),Target 2.0R from entry (Risk=27.10),517.85,517.85,-5.503524186540504,517.85,490.75,572.0500000000001,18.053571428571438,27.100000000000023
2026-01-08,ALKEM,CompositeScore,NSE_EQ|INE540L01014,6,BELOW,5599.16,5433.58,5930.34,2.0,110.393,60.24,True,False,1.8688,-19.3638,21.2326,False,True,False,False,RSI/MACD fail,Neutral,0,0,2024-08-26,,1,0,5636.86,5599.16,5585.72,5806.5,Pullback Entry: Below EMA20 5599.16,EMA50-based stop: ₹5585.72,2R target from entry,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=5599.16 (BELOW), Stop=5433.58 (ATR×1.5), Target=5930.34 (2R). RSI(14) ≥50 (bullish bias), MACD cross↑ & above zero with rising histogram; breakout at ",0.21783283667618594,0.15308857826724617,0.30512417528187064,0.21480665213143352,-1.4643095912320563,7232,Ensemble,"Composite ensemble of 3 strategies (weighted by OOS trades×reliability); calibrated=21.78%, CI=[15.31%, 30.51%]; total OOS trades=7232.",1,TSM,False,EnsembleVote<2;RS_Not_Leader;RSI_MACD_Confirm_Fail;LowConfidence(0.22);Audit_FAIL,FAIL,ENTRY deviates 3.6% from canonical (5806.50),Use canonical ENTRY=5806.50 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (5806.50),Stop 1.5x ATR below entry (ATR=110.39),Target 2.0R from entry (Risk=165.60),5806.5,5806.5,-3.5708257986739023,5806.5,5640.900000000001,6137.700000000001,110.39285714285721,165.59999999999945
2026-01-08,EBBETF0433,CompositeScore,NSE_EQ|INF754K01QX0,104,BELOW,1273.61,1264.08,1292.67,2.0,6.353,63.92,True,False,1.0514,0.5815,0.4699,False,True,False,False,RSI/MACD fail,Neutral,0,0,2025-05-28,2024-08-28,1,0,1272.04,1273.61,1270.97,1276.2,Pullback Entry: Below EMA20 1273.61,EMA50-based stop: ₹1270.97,2R target from entry,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=1273.61 (BELOW), Stop=1264.08 (ATR×1.5), Target=1292.67 (2R). RSI(14) ≥50 (bullish bias), MACD cross↑ & above zero with rising histogram; breakout at ",0.21783283667618594,0.15308857826724617,0.30512417528187064,0.21480665213143352,-1.4643095912320563,7232,Ensemble,"Composite ensemble of 3 strategies (weighted by OOS trades×reliability); calibrated=21.78%, CI=[15.31%, 30.51%]; total OOS trades=7232.",1,TSM,False,EnsembleVote<2;RS_Not_Leader;RSI_MACD_Confirm_Fail;LowConfidence(0.22),PASS,,,Close,Entry at Close (1276.20),Stop 1.5x ATR below entry (ATR=6.35),Target 2.0R from entry (Risk=9.55),1276.2,1276.2,-0.20294624666981237,1276.2,1266.65,1295.3000000000002,6.352857142857131,9.549999999999955
2026-01-08,AUROPHARMA,CompositeScore,NSE_EQ|INE406A01037,25,BELOW,1206.42,1167.19,1284.87,2.0,26.15,64.87,True,False,7.7304,5.6002,2.1302,False,True,False,False,RSI/MACD fail,Neutral,0,0,2025-11-21,2025-02-21,1,0,1176.94,1206.42,1187.06,1235.4,Pullback Entry: Below EMA20 1206.42,EMA50-based stop: ₹1187.06,2R target from entry,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=1206.42 (BELOW), Stop=1167.19 (ATR×1.5), Target=1284.87 (2R). RSI(14) ≥50 (bullish bias), MACD cross↑ & above zero with rising histogram; breakout at ",0.21783283667618594,0.15308857826724617,0.30512417528187064,0.21480665213143352,-1.4643095912320563,7232,Ensemble,"Composite ensemble of 3 strategies (weighted by OOS trades×reliability); calibrated=21.78%, CI=[15.31%, 30.51%]; total OOS trades=7232.",1,TSM,False,EnsembleVote<2;RS_Not_Leader;RSI_MACD_Confirm_Fail;LowConfidence(0.22);Audit_FAIL,FAIL,ENTRY deviates 2.3% from canonical (1235.40),Use canonical ENTRY=1235.40 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (1235.40),Stop 1.5x ATR below entry (ATR=26.15),Target 2.0R from entry (Risk=39.25),1235.4,1235.4,-2.345798931520157,1235.4,1196.15,1313.9,26.150000000000073,39.25
