Stock,Close,EMA20,EMA50,EMA200,RSI14,ATR14,RVOL20,RS_ROC20,CompositeScore,TrendContinuation_Flag,VCP_Flag,SEPA_Flag,Breakout_Flag,MeanReversion_Flag
ABSLBANETF,60.51,60.33200645672629,59.623806897840595,56.866883477307,50.0,0.8278571428571426,0.14249256283474857,,2,1,0,1,0,0
ADANIENT,2263.5,2276.9863464795485,2346.5712579060014,2448.471232611801,53.02302049076653,52.78571428571432,0.45921006855599106,,0,0,0,0,0,0
ADANIPORTS,1508.7,1498.553667580036,1476.6815007303662,1394.3682964014854,47.10234278668315,23.55714285714287,0.692914817208634,,2,1,0,1,0,0
ALPHAETF,25.36,25.247117579367178,25.308040926103402,25.00809071968377,42.26804123711339,0.5185714285714279,0.7726610728571203,,0,0,0,0,0,0
ALPL30IETF,28.03,27.839038821870336,27.747489135536423,27.501415368367265,55.97484276729564,0.28499999999999936,1.2692682827700517,,2,1,0,1,0,0
APOLLOHOSP,7054.0,7141.274748424567,7340.5045317808945,7284.4835765574235,36.09467455621302,109.5,1.1561863086202389,,0,0,0,0,0,0
ASIANPAINT,2807.6,2811.566678918107,2731.79774800239,2566.4128159135703,28.52545348156815,49.38571428571429,0.4124432144173463,,1,0,0,0,0,1
AUTOBEES,285.55,283.1531353060918,279.8682561284297,260.6131613573604,47.263868065967046,5.125714285714281,0.9933380084151473,,2,1,0,1,0,0
AUTOIETF,28.6,28.362554278009732,28.0198720179465,26.08378145662045,46.18181818181823,0.4707142857142857,0.6879091493444234,,2,1,0,1,0,0
AXISBANK,1233.2,1253.7565660547325,1235.955809851828,1172.931421532402,40.97525473071325,19.385714285714307,0.5690644315813163,,0,0,0,0,0,0
AXISBNKETF,608.68,607.5859986182363,600.4022557767429,572.7031913404597,46.50900900900898,4.9542857142857315,0.2380623474697242,,2,1,0,1,0,0
AXISBPSETF,13.1,13.05796977398394,13.026154263249659,12.7848078191888,57.57575757575733,0.35142857142857115,10.493615678062339,,2,1,0,1,0,0
AXISCETF,125.95,125.87127146217485,126.3034710410112,122.32635894178426,38.32790445168299,3.212142857142855,0.6676612605675603,,0,0,0,0,0,0
AXISGOLD,112.73,108.45614894536284,104.44635127251193,90.3693219241634,74.35496481626265,2.2142857142857153,3.0918912734285766,,2,0,1,1,0,0
AXISHCETF,150.33,149.6563602991492,149.70407126702506,146.34722101361638,44.24379232505654,1.9378571428571405,0.8437005822722329,,0,0,0,0,0,0
AXISTECETF,429.63,414.0364986055567,403.92969735410395,400.9537376734469,70.96584216725559,7.157142857142852,0.25083589728536854,,1,0,0,1,0,0
BAJAJ-AUTO,9164.0,8998.025278105348,8957.827424431453,8781.676187581521,53.48733896046202,142.57142857142858,1.06997743431668,,1,0,0,1,0,0
BAJAJFINSV,2049.8,2056.932374067669,2059.135537287209,1987.4619046130967,46.49237472766887,36.57142857142857,1.2984490190317501,,0,0,0,0,0,0
BANKBEES,611.26,609.7132361347624,602.5691089184651,574.8040821549206,47.46087511976998,5.83928571428573,0.8421715462475975,,2,1,0,1,0,0
BANKBETF,60.05,59.83966386630115,59.13523494047429,56.413779218231994,48.688046647230266,0.5449999999999997,0.44573530270301825,,2,1,0,1,0,0
BANKETF,601.8,599.6743029078572,592.5737876429451,565.1766702819783,49.94984954864579,4.587142857142851,0.4102697198985806,,2,1,0,1,0,0
BANKIETF,60.59,60.436824647972614,59.7304014756938,56.97414349878724,47.13375796178345,0.9149999999999981,0.14935621520080788,,2,1,0,1,0,0
BANKNIFTY1,612.17,610.8357952066461,603.8050099235858,575.8466124512969,48.45533915379437,5.742857142857141,0.18945779426971635,,2,1,0,1,0,0
BBETF0432,1304.56,1309.4567576170527,1306.5829751163744,1279.2069650549327,31.76895306859197,5.140714285714288,0.4089463075839627,,1,0,0,0,0,1
BBNPNBETF,59.49,59.42168945331172,58.70266950448203,56.07103405467974,49.67948717948724,0.9485714285714292,0.8153204398938187,,2,1,0,1,0,0
BFSI,28.38,28.42435765637673,28.267284702006172,27.11287014378631,48.36956521739124,0.466428571428572,0.5192616915197266,,1,1,0,0,0,0
BHARTIARTL,2147.6,2097.8876689795065,2067.3141627946356,1915.3711112498115,58.47589424572311,32.02857142857147,1.0886858795139986,,1,0,0,1,0,0
BRITANNIA,6083.0,5963.204473071701,5923.928526550291,5708.570935245627,62.99311208515968,110.89285714285714,0.9090629067588749,,1,0,0,1,0,0
BSE500IETF,40.26,40.00905869403045,39.892570318676576,38.832777434433105,49.372384937238465,0.6278571428571423,0.3076611724663789,,2,1,0,1,0,0
BSLGOLDETF,118.27,114.20461624926983,110.04646516315552,95.21241781316299,76.3318777292576,1.625714285714288,0.7095763859218739,,1,0,0,1,0,0
BSLNIFTY,30.41,30.19296801355434,29.97919090225067,28.97346033158302,53.01204819277113,0.8628571428571432,0.9884734542686332,,2,1,0,1,0,0
BSLSENETFG,85.53,84.96600755944719,84.32128944956281,81.67000622215605,52.84360189573453,2.087142857142857,0.8247007134507638,,2,1,0,1,0,0
CIPLA,1512.9,1511.1399577670454,1521.8683932646206,1517.7668499636984,48.50444624090549,19.121428571428606,0.7509013217766944,,0,0,0,0,0,0
COALINDIA,386.25,382.3741150396018,382.82607534167835,390.72897020152095,63.56877323420086,4.964285714285702,0.8570256149100081,,0,0,0,0,0,0
COMMOIETF,94.21,93.39543938787114,93.1343894802802,90.2100362805279,54.59387483355525,1.7000000000000017,0.4680050680775386,,2,1,0,1,0,0
CONSUMBEES,136.16,136.14408009339408,136.5991270398779,132.281115467028,38.8888888888889,2.056428571428571,0.8432633091710179,,0,0,0,0,0,0
CONSUMIETF,126.49,126.61245446639221,126.9631594126386,122.89359635771454,36.678200692041436,1.8399999999999994,0.5811396590128075,,0,0,0,0,0,0
CPSEETF,89.96,90.18356022439717,91.28110357080263,90.81765244097092,37.88343558282202,1.7428571428571402,1.4708697858112696,,0,0,0,0,0,0
DIVISLAB,6511.5,6418.165797738141,6414.519035443252,6216.418363548555,56.46492434662999,128.46428571428572,1.1237297582894834,,2,1,0,1,0,0
EBBETF0430,1558.83,1560.1438237944622,1555.9683642391942,1521.8284811292062,35.430194805194745,9.756428571428582,0.6353768961834964,,0,0,0,0,0,0
EBBETF0431,1394.88,1395.621071677106,1392.0384324118356,1361.758035206052,39.90461049284611,4.9542857142857555,0.40267464207330245,,0,0,0,0,0,0
EBBETF0433,1269.49,1271.8259305864801,1269.213974346325,1243.8159898285303,36.76042677012593,4.696428571428588,0.5585503152785789,,0,0,0,0,0,0
EICHERMOT,7291.5,7136.2394543328,6998.210578015578,6225.042491253987,60.455607476635514,119.82142857142857,0.5183147890717161,,1,0,0,1,0,0
EQUAL50ADD,344.28,341.6750049183278,340.0372927886911,327.8133598100269,50.388601036269314,3.8850000000000073,7.262365399992753,,2,1,0,1,0,0
ESG,44.54,44.126265702388466,43.8673607403479,42.51716033477277,54.30711610486887,0.5821428571428571,0.23046778328531922,,2,1,0,1,0,0
FINIETF,32.43,32.23228699183235,31.950394284628825,30.03933433727349,46.91358024691359,0.755,0.5304010278313945,,2,1,0,1,0,0
FMCGIETF,58.86,58.76950951573233,59.04760522917913,59.23875202947935,44.745762711864344,0.875,0.4836064896598034,,0,0,0,0,0,0
GILT5YBEES,63.4,63.464748869048705,63.35672998989595,62.17350506581246,43.74999999999994,0.639285714285714,0.8572928542716587,,0,0,0,0,0,0
GOLD1,112.07,108.39426869718693,104.40455519570625,90.33027517617846,72.74275979557066,2.307857142857142,1.9805017354791672,,2,0,1,1,0,0
GOLDBEES,111.39,107.56515846907766,103.63318446046075,89.69837352421109,75.30755711775043,1.3721428571428578,2.221686998965806,,2,0,1,1,0,0
GOLDETF,130.79,126.23420908254555,121.61965638700529,105.27458793034182,78.9249146757679,3.2228571428571393,1.8094656425732696,,2,0,1,1,0,0
GOLDIETF,115.52,111.316510533333,107.1852125091045,92.69213642498664,75.69558101472995,1.8778571428571442,1.2478888907227357,,1,0,0,1,0,0
GOLDSHARE,113.3,109.2389005783802,105.20553955070748,90.93889264011995,77.57009345794387,2.675000000000001,1.5110589687483915,,1,0,0,1,0,0
GRASIM,2809.7,2783.764208002808,2784.725329347761,2728.856920393815,69.60629921259837,42.25714285714288,1.689905500598025,,1,0,1,0,0,0
GSEC10IETF,259.16,258.982018858574,258.73707228134253,255.03610704037794,48.51063829787246,1.0900000000000034,0.07709690283131729,,2,1,0,1,0,0
GSEC10YEAR,29.44,29.553805562234817,29.4974586215557,29.005038804469216,48.837209302325675,0.25571428571428584,0.31934808095174033,,1,1,0,0,0,0
HCLTECH,1670.3,1647.6204260960174,1601.64952516059,1584.5899037114575,58.72617853560681,28.242857142857133,0.6246513647269262,,2,1,0,1,0,0
HDFCBANK,987.7,993.0853807220951,991.3689663582995,961.4045011174657,48.60186418109194,11.700000000000005,0.7882189204264296,,1,1,0,0,0,0
HDFCGOLD,115.17,111.06335583462996,106.99100188058793,92.57450077231559,76.65441176470577,2.7957142857142867,1.325962812155345,,1,0,0,1,0,0
HDFCLIFE,761.8,764.4496074583673,762.7236067845997,742.3453244492091,51.64705882352938,14.753571428571417,0.38846106776011785,,1,1,0,0,0,0
HEALTHIETF,151.93,150.86592090641741,150.878941776209,147.347951182313,47.31610337972172,2.8035714285714266,1.38268144676255,,0,0,0,0,0,0
HEROMOTOCO,5699.5,5919.662529040487,5775.221381785641,5099.080780398077,20.92668024439918,135.35714285714286,1.6757264983349551,,1,0,0,0,0,1
HINDALCO,864.55,831.2596892989824,808.0229078818504,733.7906047626313,72.41647241647236,17.55000000000001,1.1679916425264392,,0,0,0,0,0,0
HINDUNILVR,2289.5,2337.1453624325177,2405.7171963769524,2447.740699583218,22.16967188885603,47.17142857142861,0.4329843140491863,,0,0,0,0,0,0
HNGSNGBEES,503.43,509.53402073044,510.0322992913931,455.59004407347317,33.911221184987596,12.15714285714286,0.8356373999361123,,0,0,0,0,0,0
ICICIBANK,1368.5,1368.4652747657553,1374.9293032788714,1369.415900769464,47.84276126558005,16.271428571428583,1.031252096469767,,0,0,0,0,0,0
INDUSINDBK,856.4,842.4896699081123,823.7961097462673,854.3879432530696,52.41871530531326,20.003571428571433,0.7888332339667843,,0,0,0,0,0,0
INFRAIETF,99.07,98.03181452815862,97.33920763703537,93.72388379116516,53.047091412742375,1.3885714285714275,0.7226704858781322,,2,1,0,1,0,0
INFY,1689.6,1597.2387326512876,1557.4403218449793,1571.8149768911424,79.33394160583941,28.93571428571431,2.8523183335184132,,1,0,0,0,1,0
ITBEES,43.29,41.75112517672034,40.73765858451114,40.42631950587283,71.87499999999993,1.1149999999999984,1.861564473134792,,2,0,0,1,1,0
ITC,402.7,402.60295462882436,404.97222022774395,416.41345675066987,54.06032482598611,3.610714285714274,0.7837093871195313,,0,0,0,0,0,0
ITETF,41.33,39.797989337735565,38.81145974674658,38.49631861998601,72.21006564551428,0.7335714285714293,1.4393884661632932,,1,0,0,1,0,0
ITIETF,43.27,41.740123112705334,40.713344689588084,40.38446413704447,72.53668763102726,0.90857142857143,1.169187551717078,,1,0,0,1,0,0
IVZINGOLD,11680.25,11292.1065217808,10882.956302082399,9422.012736938213,74.86166906692952,243.35357142857174,5.6643741403026135,,2,0,1,1,0,0
IVZINNIFTY,2963.26,2954.020947100628,2925.6271149122044,2821.7175629001363,47.71788626495822,31.58571428571437,1.9724770642201834,,3,1,1,1,0,0
JETFREIGHT,18.43,17.781535845034615,16.240807013259275,14.633432484924413,37.346938775510196,1.3107142857142853,0.16845792242008117,,0,0,0,0,0,0
JSWSTEEL,1094.9,1116.253368726645,1130.557941936224,1075.0336219763135,33.06410903584057,26.835714285714257,0.5682634618555965,,0,0,0,0,0,0
JUNIORBEES,738.95,736.4481581263846,738.3503615883985,726.1692436186063,45.787488211254406,10.38285714285716,1.1582425633646944,,0,0,0,0,0,0
KOTAKBANK,2149.7,2147.781791726911,2124.788357262564,2060.9271717620054,52.34425176621699,31.69285714285716,0.6575087413097563,,2,1,0,1,0,0
LICMFGOLD,12141.15,11697.047092923674,11273.306645751745,9766.362115346858,78.00350541746334,175.0785714285716,1.352562307476897,,1,0,0,1,0,0
LICNETFGSC,28.61,28.70250055646858,28.65918449353076,28.172555420557455,41.0958904109588,0.3721428571428567,1.6805569056265826,,0,0,0,0,0,0
